iter	Passed	Remaining
407	5044	1137
408	5056	1125
409	5061	1111
410	5072	1098
411	5085	1086
412	5096	1073
413	5107	1061
414	5119	1048
415	5131	1036
416	5142	1023
417	5154	1011
418	5166	998
419	5178	986
420	5191	974
421	5202	961
422	5214	949
423	5225	936
424	5236	924
425	5247	911
426	5259	899
427	5271	886
428	5284	874
429	5295	862
430	5307	849
431	5320	837
432	5331	824
433	5342	812
434	5352	799
435	5364	787
436	5375	774
437	5387	762
438	5399	750
439	5411	737
440	5423	725
441	5435	713
442	5446	700
443	5458	688
444	5470	676
445	5481	663
446	5493	651
447	5504	638
448	5516	626
449	5529	614
450	5541	602
451	5553	589
452	5565	577
453	5576	565
454	5588	552
455	5600	540
456	5611	528
457	5624	515
458	5637	503
459	5648	491
460	5660	478
461	5672	466
462	5683	454
463	5694	441
464	5706	429
465	5717	417
466	5729	404
467	5740	392
468	5753	380
469	5766	368
470	5777	355
471	5789	343
472	5801	331
473	5812	318
474	5824	306
475	5836	294
476	5847	281
477	5859	269
478	5873	257
479	5885	245
480	5897	232
481	5909	220
482	5921	208
483	5933	196
484	5945	183
485	5956	171
486	5967	159
487	5979	147
488	5990	134
489	6002	122
490	6014	110
491	6025	97
492	6038	85
493	6050	73
494	6061	61
495	6072	48
496	6083	36
497	6095	24
498	6109	12
499	6120	0
