iter	RMSE
214	13.62258701
215	13.58762216
216	13.54775597
217	13.53797262
218	13.51014957
219	13.50906853
220	13.48707351
221	13.47479793
222	13.4415248
223	13.41898976
224	13.39007226
225	13.35626918
226	13.33998352
227	13.31280197
228	13.28621727
229	13.25983206
230	13.24362711
231	13.24169499
232	13.22561415
233	13.22502518
234	13.18974343
235	13.18917054
236	13.16369298
237	13.13015413
238	13.10132494
239	13.08700741
240	13.04777079
241	13.02245306
242	12.99212009
243	12.98020092
244	12.95736578
245	12.92643826
246	12.9075162
247	12.90510686
248	12.88443695
249	12.85708739
250	12.84656401
251	12.81315081
252	12.78675437
253	12.76080731
254	12.7460503
255	12.73026242
256	12.67822293
257	12.67754653
258	12.65761465
259	12.61650952
260	12.58910418
261	12.57275011
262	12.55587449
263	12.5251109
264	12.49702048
265	12.47916024
266	12.44464076
267	12.42409528
268	12.38666768
269	12.37092066
270	12.35718964
271	12.34373156
272	12.29675603
273	12.29618044
274	12.26448675
275	12.23201813
276	12.2176292
277	12.21422631
278	12.20453667
279	12.18201569
280	12.14265266
281	12.12072105
282	12.09861521
283	12.06370846
284	12.03678618
285	12.00792799
286	11.98619584
287	11.98547814
288	11.96286132
289	11.94995617
290	11.92806937
291	11.91627535
292	11.89136441
293	11.87819107
294	11.86436867
295	11.84802322
296	11.80553312
297	11.77869891
298	11.75846151
299	11.74744552
300	11.72686209
301	11.71895036
302	11.69496014
303	11.67080182
304	11.64845459
305	11.63580187
306	11.63535265
307	11.63487513
308	11.60905736
309	11.60356654
310	11.58482168
311	11.58422837
312	11.56524666
313	11.55576695
314	11.54556657
315	11.52954595
316	11.5026541
317	11.45897141
318	11.42792441
319	11.40673414
320	11.38258953
321	11.34464868
322	11.31365143
323	11.30486993
324	11.28789318
325	11.27428573
326	11.27393747
327	11.2523854
328	11.23754511
329	11.22740036
330	11.21635368
331	11.20186862
332	11.17752538
333	11.16126678
334	11.13860926
335	11.09846672
336	11.0707306
337	11.05777683
338	11.03531254
339	11.0050437
340	10.99493187
341	10.97061515
342	10.94978155
343	10.94942166
344	10.9113682
345	10.89834458
346	10.87551067
347	10.86438477
348	10.84196165
349	10.84155748
350	10.82513281
351	10.79959549
352	10.78415202
353	10.75233047
354	10.74697929
355	10.72996956
356	10.71088262
357	10.71015451
358	10.69253233
359	10.67689206
360	10.67585994
361	10.65666698
362	10.63797009
363	10.62183367
364	10.60699928
365	10.59359345
366	10.589562
367	10.56929803
368	10.54768619
369	10.53177054
370	10.51870349
371	10.49346944
372	10.49265726
373	10.4803177
374	10.47996937
375	10.4657682
376	10.45628371
377	10.44810173
378	10.42908706
379	10.40799812
380	10.38290683
381	10.3717201
382	10.36731724
383	10.36263847
384	10.35157943
385	10.33591854
386	10.32654209
387	10.31896466
388	10.31596404
389	10.29314295
390	10.2539556
391	10.23812583
392	10.23413805
393	10.21286666
394	10.19809588
395	10.18591989
396	10.18476316
397	10.17331133
398	10.16295625
399	10.15140744
400	10.14312462
401	10.12691875
402	10.10490896
403	10.08969098
404	10.08275191
405	10.08185482
406	10.08034237
407	10.06517052
408	10.04906088
409	10.04853096
410	10.03754357
411	10.0091083
412	10.00890556
413	9.995279412
414	9.983552948
415	9.972778784
416	9.950897526
417	9.947472903
418	9.922720323
419	9.919097587
420	9.894126008
421	9.893094211
422	9.877613388
423	9.865526096
424	9.851864843
425	9.838102344
426	9.814604938
427	9.800747411
428	9.786746862
429	9.769455082
430	9.760566165
431	9.743682077
432	9.715977251
433	9.695707765
434	9.695496227
435	9.673477957
436	9.654103799
437	9.644051667
438	9.634162813
439	9.615274173
440	9.604501525
441	9.57166687
442	9.550306601
443	9.532797034
444	9.523242934
445	9.507861752
446	9.489562724
447	9.465997671
448	9.44342493
449	9.413120704
450	9.401841461
451	9.3854734
452	9.370375795
453	9.359584595
454	9.359334462
455	9.341601326
456	9.331085162
457	9.319618855
458	9.308566284
459	9.284290677
460	9.269338193
461	9.256379304
462	9.256064431
463	9.255826762
464	9.238179148
465	9.228577319
466	9.213384103
467	9.204505343
468	9.191695476
469	9.185224512
470	9.181548074
471	9.178518248
472	9.161189311
473	9.159467508
474	9.158993675
475	9.146119732
476	9.129193889
477	9.108800937
478	9.099526981
479	9.099303684
480	9.07582887
481	9.057302168
482	9.036364119
483	9.012220445
484	8.990928072
485	8.981689274
486	8.95819837
487	8.947140731
488	8.929521309
489	8.912696596
490	8.905465072
491	8.876246404
492	8.86686613
493	8.854270983
494	8.84304017
495	8.815715963
496	8.800296444
497	8.792585605
498	8.785231193
499	8.760079837
