iter	RMSE
349	1671.904763
350	1671.446317
351	1670.75175
352	1670.459645
353	1670.030335
354	1669.62532
355	1669.192395
356	1668.630142
357	1668.047456
358	1667.56166
359	1667.053174
360	1666.528367
361	1666.122883
362	1665.747004
363	1665.340374
364	1664.776345
365	1664.391608
366	1663.931186
367	1663.099986
368	1662.639414
369	1662.137682
370	1661.30705
371	1660.800213
372	1660.278234
373	1659.857233
374	1659.348103
375	1658.929696
376	1658.383143
377	1657.913927
378	1657.603941
379	1657.128317
380	1656.717657
381	1656.247637
382	1655.673575
383	1655.395516
384	1654.809108
385	1654.400605
386	1653.88135
387	1653.388483
388	1653.055848
389	1652.542124
390	1651.917441
391	1651.498595
392	1651.148535
393	1650.783874
394	1650.475241
395	1649.982446
396	1649.510095
397	1648.857038
398	1648.173603
399	1647.585286
400	1647.089819
401	1646.700088
402	1646.096249
403	1645.493626
404	1645.107381
405	1644.799071
406	1644.522756
407	1644.151848
408	1643.94153
409	1643.396432
410	1642.792852
411	1642.546185
412	1641.96195
413	1641.443342
414	1641.103088
415	1640.544821
416	1640.028146
417	1639.563592
418	1638.995383
419	1638.516413
420	1637.963348
421	1637.655801
422	1637.377261
423	1636.921321
424	1636.545909
425	1636.212101
426	1635.968581
427	1635.380234
428	1635.032274
429	1634.654915
430	1634.170265
431	1633.713127
432	1633.307949
433	1632.961205
434	1632.478146
435	1632.073841
436	1631.597254
437	1631.289539
438	1630.901831
439	1630.579445
440	1630.22957
441	1629.778953
442	1629.281879
443	1628.744922
444	1628.374017
445	1627.706555
446	1627.309748
447	1627.064264
448	1626.653583
449	1626.244208
450	1625.804629
451	1625.243628
452	1624.852147
453	1624.492135
454	1623.983558
455	1623.463332
456	1623.042202
457	1622.797149
458	1622.365867
459	1621.87223
460	1621.535782
461	1621.096147
462	1620.518479
463	1620.254319
464	1619.732674
465	1619.343767
466	1618.850655
467	1618.244113
468	1617.826484
469	1617.455315
470	1617.051957
471	1616.639693
472	1616.282969
473	1615.843972
474	1615.378071
475	1614.973132
476	1614.735209
477	1614.240495
478	1613.872347
479	1613.2472
480	1612.884704
481	1612.400423
482	1611.993163
483	1611.577167
484	1611.262567
485	1610.889038
486	1610.645854
487	1610.085053
488	1609.732173
489	1609.431396
490	1609.085744
491	1608.754632
492	1608.357584
493	1608.057444
494	1607.778053
495	1607.292321
496	1606.958235
497	1606.567691
498	1606.265099
499	1605.81621
