iter	Passed	Remaining
400	22890	5651
401	22946	5593
402	22999	5535
403	23060	5479
404	23113	5421
405	23170	5364
406	23227	5307
407	23282	5249
408	23335	5191
409	23389	5134
410	23442	5076
411	23493	5017
412	23552	4961
413	23628	4908
414	23703	4854
415	23770	4799
416	23871	4751
417	23997	4707
418	24075	4654
419	24157	4601
420	24233	4547
421	24306	4492
422	24388	4439
423	24493	4390
424	24589	4339
425	24699	4290
426	24812	4241
427	24900	4188
428	25020	4140
429	25106	4087
430	25221	4037
431	25283	3979
432	25344	3921
433	25418	3865
434	25499	3810
435	25570	3753
436	25631	3695
437	25686	3636
438	25744	3577
439	25806	3519
440	25890	3463
441	25972	3408
442	26042	3350
443	26095	3291
444	26149	3231
445	26203	3172
446	26254	3112
447	26305	3053
448	26364	2994
449	26417	2935
450	26472	2876
451	26525	2816
452	26581	2757
453	26637	2698
454	26691	2639
455	26745	2580
456	26797	2521
457	26847	2461
458	26900	2402
459	26952	2343
460	27004	2284
461	27056	2225
462	27111	2166
463	27160	2107
464	27216	2048
465	27267	1989
466	27322	1930
467	27375	1871
468	27425	1812
469	27478	1753
470	27530	1695
471	27582	1636
472	27633	1577
473	27685	1518
474	27739	1459
475	27797	1401
476	27852	1343
477	27905	1284
478	27956	1225
479	28010	1167
480	28061	1108
481	28114	1049
482	28168	991
483	28220	932
484	28275	874
485	28326	816
486	28376	757
487	28429	699
488	28477	640
489	28529	582
490	28583	523
491	28635	465
492	28687	407
493	28740	349
494	28791	290
495	28845	232
496	28896	174
497	28950	116
498	28999	58
499	29050	0
